"N","d","G","beta","m","s","K","rank","ratio","beta.hat","V_LZ","V_HC1","V_HC2","V_HC3","V_LOO","V_CR","Neg","T_LZ","T_HC1","T_HC2","T_HC3","T_LOO","T_CR"
600,1,150,1,1,157,251,251,7.83379139805745,0.855311738248599,0.00399713904487156,0.0069064622446051,0.00683624421960064,0.0117286279663265,0.00982485676671927,0.00883323073216424,0,-2.28854086210973,-1.74102688742106,-1.7499454648666,-1.33600995392168,-1.45972210707091,-1.53947808796403
600,1,150,1,1,158,151,151,4.94982344385039,0.996859282366287,0.00372968261053439,0.0050090728472895,0.00495502602982035,0.00659093835982988,0.00475439268100329,0.00573007361781286,0,-0.0514272089576779,-0.04437621112107,-0.0446175709335576,-0.0386861283085288,-0.0455492644888785,-0.0414905118033598
600,1,150,1,1,158,201,201,6.33513711330978,0.974521769726225,0.00361707890869916,0.00546659501011959,0.00541113284974054,0.00812195914965574,0.00596273456323999,0.00616542105269202,0,-0.423633471718369,-0.344596457220117,-0.346357949771308,-0.282708494626591,-0.329948774850547,-0.324479966104136
600,1,150,1,1,158,251,251,7.8624279509803,1.2532610882101,0.00673962050094307,0.0116450626335981,0.0116402717058171,0.0201687575282429,0.0138831151656739,0.0149716022251635,0,3.08496859502748,2.34691604581666,2.34739897047933,1.78331842303831,2.14943841049782,2.06982833822637
600,1,150,1,1,159,151,151,5.03374706248113,1.064803899713,0.00259259094173614,0.00348192547368488,0.003430958071594,0.00455157142389749,0.00366343533967706,0.00373903318084538,0,1.27272372990836,1.09822520183213,1.10635228174749,0.960551070155972,1.07067306188844,1.05979406156502
600,1,150,1,1,159,201,201,6.60020313470465,1.03746816189938,0.00430238963277403,0.00650232474650967,0.00656631122863087,0.0100445498973906,0.00557014029228761,0.00784145160636293,0,0.571225411174829,0.464652266891251,0.462382784927463,0.37384979590272,0.502029596667586,0.423120585398229
600,1,150,1,1,159,251,251,7.8073537148347,0.997979031483579,0.0027508548432982,0.0047530683577305,0.0046998558567824,0.00805612073976523,0.00579409950828411,0.00558711344549831,0,-0.0385323690202806,-0.0293138268191089,-0.0294793075970396,-0.0225162760600191,-0.0265501251862414,-0.0270374545912983
600,1,150,1,1,160,151,151,4.83812099898115,0.942212851389272,0.0030952861410483,0.00415705983129086,0.00412092843659431,0.00549330730655609,0.00564853189228262,0.00471188641565312,0,-1.03867783496726,-0.896268489491912,-0.900189057129815,-0.779676273153039,-0.768888690621221,-0.841848338701527
600,1,150,1,1,160,201,201,6.65225875142811,0.986636575938761,0.00424584497762033,0.00641686718876363,0.00637986595323918,0.00961734065249063,0.00855398088262638,0.00776689444103938,0,-0.205085843562393,-0.16682311440344,-0.167306176067538,-0.136266860580313,-0.144488609769704,-0.151633112182414
600,1,150,1,1,160,251,251,7.8162629315966,1.08385363584703,0.00303399713141313,0.00524229615310224,0.00514255689513933,0.00876259332162726,0.00718726662551497,0.00554604582657913,0,1.52234931168261,1.1581401615189,1.16931722029114,0.895788679991998,0.989099585910567,1.12597868993853
600,1,150,1,1,161,151,151,4.95610357898562,1.04056450386973,0.0032960028104663,0.00442662818971909,0.00442632374834549,0.00595289364035186,0.00636122610360819,0.00510390546405482,0,0.706565425119461,0.609690805926356,0.609711772751813,0.525753420779924,0.508599293349338,0.567799306577211
600,1,150,1,1,161,201,201,6.41889154308772,0.955811965225673,0.00334797464298973,0.00505989002157452,0.00518662408564383,0.00807174115749368,0.00247362445807016,0.00603321284692762,0,-0.763683851092375,-0.621203863932637,-0.613567434192119,-0.491836860694425,-0.888459844587855,-0.568892703373184
